Year,Exchange_Rate,Currency
2013,30.13,Mauritian rupee   (MUR)                     
2014,31.73,Mauritian rupee   (MUR)                     
2015,35.88,Mauritian rupee   (MUR)                     
2016,36.01,Mauritian rupee   (MUR)                     
2017,33.48,Mauritian rupee   (MUR)                     
2018,34.26,Mauritian rupee   (MUR)                     
2019,36.93,Mauritian rupee   (MUR)                     
2020,39.59,Mauritian rupee   (MUR)                     
2000,10.44,Mexican peso   (MXN)                     
2001,10.44,Mexican peso   (MXN)                     
2002,10.44,Mexican peso   (MXN)                     
2003,11.24,Mexican peso   (MXN)                     
2004,11.15,Mexican peso   (MXN)                     
2005,10.98,Mexican peso   (MXN)                     
2006,10.81,Mexican peso   (MXN)                     
2007,10.92,Mexican peso   (MXN)                     
2008,13.83,Mexican peso   (MXN)                     
2009,13.07,Mexican peso   (MXN)                     
2010,12.38,Mexican peso   (MXN)                     
2011,12.68,Mexican peso   (MXN)                     
2012,12.99,Mexican peso   (MXN)                     
2013,13.07,Mexican peso   (MXN)                     
2014,15.16,Mexican peso   (MXN)                     
2015,17.25,Mexican peso   (MXN)                     
2016,18.46,Mexican peso   (MXN)                     
2017,19.66,Mexican peso   (MXN)                     
2018,19.27,Mexican peso   (MXN)                     
2019,18.87,Mexican peso   (MXN)                     
2020,20.12,Mexican peso   (MXN)                     
2000,0.44,New Zealand dollar   (NZD)                     
2001,0.42,New Zealand dollar   (NZD)                     
2002,0.53,New Zealand dollar   (NZD)                     
2003,0.65,New Zealand dollar   (NZD)                     
2004,0.72,New Zealand dollar   (NZD)                     
2005,0.68,New Zealand dollar   (NZD)                     
2006,0.71,New Zealand dollar   (NZD)                     
2007,0.77,New Zealand dollar   (NZD)                     
2008,0.58,New Zealand dollar   (NZD)                     
2009,0.72,New Zealand dollar   (NZD)                     
2010,0.77,New Zealand dollar   (NZD)                     
2011,0.77,New Zealand dollar   (NZD)                     
2012,0.82,New Zealand dollar   (NZD)                     
2013,0.82,New Zealand dollar   (NZD)                     
2014,0.78,New Zealand dollar   (NZD)                     
