Country,Code,Unemployment,PCAP_Inc,Region,Sub_Region
Europe & Central Asia (excluding high income),ECA,8.12,22573.8,Africa,Northern Africa
Argentina,ARG,11.67,23040.29,Americas,Latin America and the Caribbean
Montenegro,MNE,15.86,23343.99,Europe,Southern Europe
Other small states,OSS,10.47,23754.39,Asia,Western Asia
Mauritius,MUS,7.11,23882.35,Africa,Sub-Saharan Africa
Europe & Central Asia (IDA & IBRD countries),TEC,7.57,24008.59,Africa,Sub-Saharan Africa
Bulgaria,BGR,5.71,24579.12,Europe,Eastern Europe
Chile,CHL,11.51,26247.38,Americas,Latin America and the Caribbean
Turkey,TUR,13.92,27318.43,Asia,Western Asia
Trinidad and Tobago,TTO,6.74,27334.18,Americas,Latin America and the Caribbean
Kazakhstan,KAZ,6.05,27517.94,Asia,Central Asia
Oman,OMN,4.97,28507.48,Asia,Western Asia
Russian Federation,RUS,5.73,29181.36,Europe,Eastern Europe
Malaysia,MYS,4.55,29619.69,Asia,South-eastern Asia
Croatia,HRV,7.2,30246.05,Europe,Southern Europe
Greece,GRC,16.85,31562.59,Europe,Southern Europe
Latvia,LVA,8.19,32047.35,Europe,Northern Europe
Romania,ROU,4.84,32358.33,Europe,Eastern Europe
Slovak Republic,SVK,6.79,32544.96,Europe,Eastern Europe
Panama,PAN,10.23,32850.82,Americas,Latin America and the Caribbean
Hungary,HUN,4.35,33949.63,Europe,Eastern Europe
Central Europe and the Baltics,CEB,4.56,34113.57,Oceania,Australia and New Zealand
Poland,POL,3.55,34151.79,Europe,Eastern Europe
Puerto Rico,PRI,11.17,36045.1,Americas,Latin America and the Caribbean
Portugal,PRT,7.2,36760.12,Europe,Southern Europe
Europe & Central Asia,ECS,7.41,36790.01,Africa,Northern Africa
"Bahamas, The",BHS,14.41,38742.55,Americas,Latin America and the Caribbean
Lithuania,LTU,8.43,38756.11,Europe,Northern Europe
Estonia,EST,6.46,38819.34,Europe,Northern Europe
Slovenia,SVN,5.17,41193.84,Europe,Southern Europe
Cyprus,CYP,7.21,41254.4,Asia,Western Asia
Israel,ISR,4.61,41947.59,Asia,Western Asia
Spain,ESP,15.67,42185.59,Europe,Southern Europe
Japan,JPN,2.97,42338.03,Asia,Eastern Asia
"Korea, Rep.",KOR,4.07,42727.95,Asia,Eastern Asia
Czech Republic,CZE,2.94,43004.53,Europe,Eastern Europe
New Zealand,NZL,4.55,43810.87,Oceania,Australia and New Zealand
Italy,ITA,9.31,44395.11,Europe,Southern Europe
Malta,MLT,4.09,46071.33,Europe,Southern Europe
OECD members,OED,7.34,46331.58,Oceania,Australia and New Zealand
European Union,EUU,7.37,46442.78,Africa,Sub-Saharan Africa
Bahrain,BHR,4.09,47002.55,Asia,Western Asia
United Kingdom,GBR,4.34,48484.27,Europe,Northern Europe
Saudi Arabia,SAU,8.22,49040.34,Asia,Western Asia
Euro area,EMU,8.2,49207.83,Africa,Northern Africa
France,FRA,8.62,49519.3,Europe,Western Europe
Canada,CAN,9.48,50510.75,Americas,Northern America
Post-demographic dividend,PST,6.96,51004.71,Asia,Western Asia
Finland,FIN,7.83,51619.83,Europe,Northern Europe
High income,HIC,6.79,51920.85,Americas,Latin America and the Caribbean
Kuwait,KWT,6.79,52059.72,Asia,Western Asia
Australia,AUS,6.61,52203.13,Oceania,Australia and New Zealand
Belgium,BEL,6.01,54628.1,Europe,Western Europe
Sweden,SWE,8.45,55027.37,Europe,Northern Europe
Germany,DEU,4.31,55891.2,Europe,Western Europe
Iceland,ISL,5.01,58512.65,Europe,Northern Europe
Austria,AUT,5.77,58649.67,Europe,Western Europe
Netherlands,NLD,4.09,59469.08,Europe,Western Europe
Denmark,DNK,5.66,60334.81,Europe,Northern Europe
"Hong Kong SAR, China",HKG,5.8,62495.96,Asia,Eastern Asia
North America,NAC,8.44,63781.77,Africa,Sub-Saharan Africa
Brunei Darussalam,BRN,8.37,64847.65,Asia,South-eastern Asia
United States,USA,8.31,65297.52,Americas,Northern America
Norway,NOR,4.62,67978.72,Europe,Northern Europe
United Arab Emirates,ARE,5,70089.32,Asia,Western Asia
Switzerland,CHE,4.94,70276.55,Europe,Western Europe
Ireland,IRL,5.92,87217.35,Europe,Northern Europe
Qatar,QAT,3.45,94028.6,Asia,Western Asia
Singapore,SGP,5.19,101649.07,Asia,South-eastern Asia
Luxembourg,LUX,6.96,120962.19,Europe,Western Europe
"Macao SAR, China",MAC,2.5,129451.06,Asia,Eastern Asia
